Serial,Event,Country,Code Region,Region,gid,Code District,District,Code Commune,Commune,Location,Date (YMD),Comments,Cause,Description of Cause,Source,Magnitude,GLIDEnumber,Other sectors,DataCards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.
2736,HEAT WAVE,Albania,67,Berat,910,,,,,,2002/6/23,"brenda 5 diteve te fundit 300 persona kane kerkuar ndihme ne spitalin rajonal, shkak sipas mjekeve temperatura e larte. Ne 60 % te rasteve kane probleme me diarrene, 40 % probleme kardiake, disa kane semundje kronike te stimuluara nga moti.",,,Gazeta Shqiptare,,@@3612,,1,,300,,,,,,,,,,,,
2782,HEAT WAVE,Albania,69,Durrës,346,69498,Durrësit,69498589,Durrës,,2001/7/16,mosha 50-60 vjec,,,Gazeta Shqiptare,,@@3637,,1,,50,,,,,,,,,,,,
2854,HEAT WAVE,Albania,69,Durrës,346,69498,Durrësit,,,,1999/7/7,,,,Gazeta Shqiptare,,@@3678,,1,,74,,,,,,,,,,,,
2864,HEAT WAVE,Albania,69,Durrës,346,69498,Durrësit,69498589,Durrës,,1999/8/9,,,,Gazeta Shqiptare,,@@3707,,1,,122,,,,,,,,,,,,
3177,HEAT WAVE,Albania,69,Durrës,346,69498,Durrësit,,,,1998/7/23,,,,Gazeta Shqiptare,,@@3989,,1,,,,,,,,,,,,,,
2731,HEAT WAVE,Albania,70,Elbasan,10,,,,,,2002/6/18,"qarku i Elbasanit, 2 te moshuar kane gjetur vdekjen nga rrezet e forta te diellit",,,Gazeta Shqiptare,,@@3607,,1,2,,,,,,,,,,,,,
2773,HEAT WAVE,Albania,70,Elbasan,10,70500,Elbasanit,70500608,Elbasan,,2001/5/30,mosha 40-60 vjec,,,Gazeta Shqiptare,,@@3628,,1,,8,,,,,,,,,,,,
2775,HEAT WAVE,Albania,70,Elbasan,10,70500,Elbasanit,70500608,Elbasan,,2001/6/27,"2 viktima nga vapa e madhe, nje 21 vjecar vdes ne autobus dhe nje 45 vjecar vdes ne makinen e tij",,,Gazeta Shqiptare,,@@3630,,1,2,,,,,,,,,,,,,
2784,HEAT WAVE,Albania,70,Elbasan,10,70500,Elbasanit,,,,2001/7/7,,Cond.Atmosph.,temperaturat e larta te 10 diteve te fundit,Gazeta Shqiptare,,@@3630,,1,,300,,,,,,,,,,,,
2937,HEAT WAVE,Albania,70,Elbasan,10,70500,Elbasanit,,,,2000/6/6,,,gjate diteve te fundit,Gazeta Shqiptare,,@@3787,,1,,60,,,,,,,,,,,,
2732,HEAT WAVE,Albania,71,Fier,1509,,,,,fshati Sheq i Vogel,2002/6/18,nje i moshuar i vdekur,,temperaturat e larta te diteve te fundit,Gazeta Shqiptare,,@@3608,,1,1,,,,,,,,,,,,,
2774,HEAT WAVE,Albania,71,Fier,1509,71504,Fierit,71504656,Fier,,2001/6/24,10 femije,,,Gazeta Shqiptare,,@@3629,,1,,10,,,,,,,,,,,,
2737,HEAT WAVE,Albania,73,Korçë,895,,,,,,2002/6/29,kane vdekur 2 persona nga temperaturat e larta,,,Gazeta Shqiptare,,@@3613,,1,2,,,,,,,,,,,,,
2738,HEAT WAVE,Albania,73,Korçë,895,,,,,,2002/7/9,Korce: 2 persona kane gjetur vdekjen si pasoje e temperaturave te larta,,,Gazeta Shqiptare,,@@3614,,1,2,,,,,,,,,,,,,
2982,HEAT WAVE,Albania,74,Kukës,1290,74515,Kukësit,,,,1996/7/9,,,,Gazeta Shqiptare,,@@3812,,1,,,,,,,,,,,,,,
2733,HEAT WAVE,Albania,76,Shkodër,605,,,,,,2002/6/24,"2 te rinj vdesin nga vapa, u shkaktoi infarkt te miokardit
",,,Gazeta Shqiptare,,@@3609,,1,2,,,,,,,,,,,,,
2783,HEAT WAVE,Albania,76,Shkodër,605,76523,Shkodrës,76523843,Shkodër,,2001/7/14,"cdo dite mesatarisht 2 femije, mosha 0-3 vjec",Cond.Atmosph.,,Gazeta Shqiptare,,@@3638,,1,,60,,,,,,,,,,,,
2867,HEAT WAVE,Albania,77,Tiranë,2584,77525,Tiranës,77525874,Tiranë,,1999/8/8,kane vdekur persone te moshuar mbi 65 vjec,,,Gazeta Shqiptare,,@@3728,,1,27,,,,,,,,,,,,,
3155,HEAT WAVE,Albania,77,Tiranë,2584,77525,Tiranës,77525874,Tiranë,,1998/6/26,ka vdekur nje i moshuar,,,Gazeta Shqiptare,,@@3968,,1,1,,,,,,,,,,,,,
3178,HEAT WAVE,Albania,77,Tiranë,2584,77525,Tiranës,77525874,Tiranë,,1998/7/8,cdo dite 100 injured nga vapa,,,Gazeta Shqiptare,,@@3990,,1,,100,,,,,,,,,,,,
2739,HEAT WAVE,Albania,78,Vlorë,149,78528,Vlorës,78528905,Vlorë,,2002/7/12,"qyteti i Vlores: 42 femije jane paraqitur ne spital, shkaku vapa e madhe, temperaturat e larte, ushqimet, uji etj.",,,Gazeta Shqiptare,,@@3377,,1,,42,,,,,,,,,,,,
3171,HEAT WAVE,Albania,78,Vlorë,149,78528,Vlorës,78528905,Vlorë,,1998/7/1,,,,Gazeta Shqiptare,,@@3983,,1,1,,,,,,,,,,,,,
2706-d,HEAT WAVE,Argentina,06,Buenos Aires,194,06091,Berazategui,,,Berazategui,1987/12/1,Cortes de agua (150.000 afec.). Inicio: 28-11-1987  Fe.: 1-12-1987. (DI6Author : F.Q. DI6Date : 04-Ene),Otra causa,35 9 °C,Cl - LN,11,,,1,,,,,,,150000,,,,,,,
2705-e,HEAT WAVE,Argentina,06,Buenos Aires,194,06273,Florencio Varela,,,Florencia Varela,1987/12/1,Red de agua  funcionamiento semi-normal. Inicio: 28-11-1987  Fe.: 1-12-1987. (DI6Author : F.Q. DI6Date : 04-Ene),Otra causa,35 9 °C,Cl - LN,7,,,1,,,,,,,,,,,,,,
2705-f,HEAT WAVE,Argentina,06,Buenos Aires,194,06539,Merlo,,,Merlo,1987/12/1,Red de agua  funcionamiento semi-normal. Inicio: 28-11-1987  Fe.: 1-12-1987. (DI6Author : F.Q. DI6Date : 04-Ene),Otra causa,35 9 °C,Cl - LN,3,,,1,,,,,,,,,,,,,,
2705-c,HEAT WAVE,Argentina,06,Buenos Aires,194,06749,San Fernando,,,San Fernando,1987/12/1,Cortes de agua y de energía. Inicio: 28-11-1987  Fe.: 1-12-1987. (DI6Author : F.Q. DI6Date : 04-Ene),Otra causa,35 9 °C,Cl - LN,9,,,1,,,,,,,,,,,,,,
2705-b,HEAT WAVE,Argentina,06,Buenos Aires,194,06756,San Isidro,,,Boulogne,1987/12/1,Cortes de agua y de energía. Inicio: 28-11-1987  Fe.: 1-12-1987. (DI6Author : F.Q. DI6Date : 04-Ene),Otra causa,35 9 °C,Cl - LN,9,,,1,,,,,,,,,,,,,,
2705-a,HEAT WAVE,Argentina,06,Buenos Aires,194,06861,Vicente Lopez,,,Carapachay,1987/12/1,Cortes de agua y de energía. Inicio: 28-11-1987  Fe.: 1-12-1987. (DI6Author : F.Q. DI6Date : 04-Ene),Otra causa,35 9 °C,Cl - LN,9,,,1,,,,,,,,,,,,,,
276-01,HEAT WAVE,Argentina,06,Buenos Aires,194,06091,Berazategui,,,,1991/11/22,(DI6Author : A.C. DI6Date : 5-00),Otra causa,33º,Cl - LN,6,,,1,,,,,,,,,,,,,,
288-01,HEAT WAVE,Argentina,06,Buenos Aires,194,,,,,,1993/1/8,(DI6Author : A.C. DI6Date : ),Otra causa,,Cl,15,,,1,,,,,,,500000,,,,,,,
426-06,HEAT WAVE,Argentina,06,Buenos Aires,194,06378,General Sarmiento,,,,1994/12/9,Ver 425-01 (DI6Author : A.C. DI6Date : ),Otra causa,,Cl,6,,,1,,,,,,,,,,,,,,
426-05,HEAT WAVE,Argentina,06,Buenos Aires,194,06637,Pilar,,,,1994/12/9,Ver 425-01. (DI6Author : A.C. DI6Date : ),Otra causa,,Cl,6,,,1,,,,,,,,,,,,,,
426-02,HEAT WAVE,Argentina,06,Buenos Aires,194,06749,San Fernando,,,,1994/12/9,Ver 425-01. (DI6Author : A.C. DI6Date : ),Otra causa,,Cl,6,,,1,,,,,,,,,,,,,,
426-03,HEAT WAVE,Argentina,06,Buenos Aires,194,06756,San Isidro,,,,1994/12/9,Ver 425-01. (DI6Author : A.C. DI6Date : ),Otra causa,,Cl,6,,,1,,,,,,,,,,,,,,
426-04,HEAT WAVE,Argentina,06,Buenos Aires,194,06805,Tigre,,,,1994/12/9,Ver 425-01. (DI6Author : A.C. DI6Date : ),Otra causa,,Cl,6,,,1,,,,,,,,,,,,,,
426-01,HEAT WAVE,Argentina,06,Buenos Aires,194,06861,Vicente Lopez,,,,1994/12/9,Ver 425-01. (DI6Author : A.C. DI6Date : ),Otra causa,,Cl,6,,,1,,,,,,,,,,,,,,
1112-a,HEAT WAVE,Argentina,06,Buenos Aires,194,06441,La Plata,,,La Plata,1998/12/4,(DI6Author : A.C. DI6Date : ),Otra causa,35ºC,Cl,9,,,1,,,,,,,350000,,,,,,,
5299-a,HEAT WAVE,Argentina,06,Buenos Aires,194,06441,La Plata,,,entre Gonnet y Ringuelet,2007/2/2,Tren línea Roca. Soc: Htal S. Roque de Gonnet. 3 vagones accidentados. La empresa lo atribuye al calor (34º) aunque 3 meses antes se descarriló otro trenen misma zona. (DI6Author : AC DI6Date : 03/08),Otra causa,Descarrila un tren por vías dilatadas,Cl - LN,10,,,1,,14,,,,,150,,,,,,,
6049-a,HEAT WAVE,Argentina,02,Capital Federal,2876,,,,,,1977/1/8,Centro de Salud: Hospital Alvarez. Enfermos por deshidratación. (DI6Author : P.V. DI6Date : 03-Feb),Otra causa,34º9.,Cl,10,,,1,3,,,,,,,,,,,,,
5093-a,HEAT WAVE,Argentina,02,Capital Federal,2876,,,,,Toda la Capital,1980/3/10,Corte suministro de energía. Suspensión de clases. Personas descompuestas por el calor. (DI6Author : D.L. DI6Date : 07/11/2001),Otra causa,Temp. mínima 28° C  máxima 36° C,LN,16,,,1,2,511,,,,,,,,,,,,
2704-a,HEAT WAVE,Argentina,02,Capital Federal,2876,02007,VII CABALL-V.CRESPO,,,Caballito,1987/12/1,Cortes de agua y de energía. Inicio: 28-11-1987  Fe.: 1-12-1987. (DI6Author : F.Q. DI6Date : 04-Ene),Otra causa,35  9 °C,Cl - LN,9,,,1,,,,,,,,,,,,,,
2704-b,HEAT WAVE,Argentina,02,Capital Federal,2876,02010,X BELGR-NUÑEZ-SAAV-COGHL,,,Saavedra,1987/12/1,Cortes de agua y de energía. Inicio: 28-11-1987  Fe.: 1-12-1987. (DI6Author : F.Q. DI6Date : 04-Ene),Otra causa,35  9 °C,Cl - LN,9,,,1,,,,,,,,,,,,,,
2704-c,HEAT WAVE,Argentina,02,Capital Federal,2876,02012,XII MITRE-S.RITA-FLORES,,,Floresta,1987/12/1,Cortes de agua y de energía. Inicio: 28-11-1987  Fe.: 1-12-1987. (DI6Author : F.Q. DI6Date : 04-Ene),Otra causa,35  9 °C,Cl - LN,9,,,1,,,,,,,,,,,,,,
